[2023-03-27 11:55:11,061]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-27 11:55:11,390]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 11:55:11,390]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 11:55:11,390]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 11:55:11,390]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 11:55:13,945]  - INFO - configuring all the dataIngestion path variable
[2023-03-27 11:55:13,945]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-27 11:55:13,945]  - INFO - successfully configured
[2023-03-27 11:55:13,945]  - INFO - initiating DataIngestion
[2023-03-27 11:55:13,945]  - INFO - Merging all the csv files in one dataframe!
[2023-03-27 11:55:13,993]  - INFO - file size after merged :- (10399, 1)
[2023-03-27 11:55:14,024]  - INFO - initiated DataIngestion
[2023-03-27 11:55:14,024]  - INFO - initiating datavalidation class
[2023-03-27 11:55:14,071]  - INFO - writing Validationroport.yaml file
[2023-03-27 11:55:14,071]  - INFO - initiating the datacleaning instance methods!
[2023-03-27 11:55:14,087]  - INFO - dropping the duplicate history from history
[2023-03-27 11:55:14,102]  - INFO - successfully droped duplicacy, and now size :- (1328, 1)
[2023-03-27 11:55:14,102]  - INFO - remove less lenght and linc history !
[2023-03-27 11:55:14,118]  - INFO - successfully removed less length and linc, and now size :- (849, 1)
[2023-03-27 11:55:14,118]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-27 11:55:14,196]  - INFO - successfully cleaned the text!
[2023-03-27 11:55:14,196]  - INFO - concatenating entire titles as a single str!
[2023-03-27 11:55:14,196]  - INFO - successfully concated entire text!
[2023-03-27 11:55:14,196]  - INFO - removing unneccessary extra spaces.
[2023-03-27 11:55:14,196]  - INFO - preparing final text data!
[2023-03-27 11:55:14,196]  - INFO - successfully prepared the final text with length :- 35143
[2023-03-27 11:55:14,196]  - INFO - saving the cleaned text file
[2023-03-27 11:55:14,212]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:55:14,212]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115513\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-27 11:55:16,392]  - INFO - text_data successfully lemmetized !
[2023-03-27 11:55:16,392]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115513\DataTransformation\lemmetized\lemmetized.txt
[2023-03-27 11:55:16,392]  - INFO - saving the cleaned text file
[2023-03-27 11:55:16,392]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:55:16,392]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115513\DataTransformation\lemmetized\lemmetizer.pkl
