[2023-03-27 11:38:05,039]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-27 11:38:05,369]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 11:38:05,369]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 11:38:05,369]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 11:38:05,369]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 11:38:07,926]  - INFO - configuring all the dataIngestion path variable
[2023-03-27 11:38:07,926]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-27 11:38:07,926]  - INFO - successfully configured
[2023-03-27 11:38:07,926]  - INFO - initiating DataIngestion
[2023-03-27 11:38:07,926]  - INFO - Merging all the csv files in one dataframe!
[2023-03-27 11:38:07,988]  - INFO - file size after merged :- (10399, 1)
[2023-03-27 11:38:08,004]  - INFO - initiated DataIngestion
[2023-03-27 11:38:08,004]  - INFO - initiating datavalidation class
[2023-03-27 11:38:08,066]  - INFO - writing Validationroport.yaml file
[2023-03-27 11:38:08,066]  - INFO - initiating the datacleaning instance methods!
[2023-03-27 11:38:08,082]  - INFO - dropping the duplicate history from history
[2023-03-27 11:38:08,082]  - INFO - successfully droped duplicacy, and now size :- (1328, 1)
[2023-03-27 11:38:08,082]  - INFO - remove less lenght and linc history !
[2023-03-27 11:38:08,113]  - INFO - successfully removed less length and linc, and now size :- (849, 1)
[2023-03-27 11:38:08,113]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-27 11:38:08,176]  - INFO - successfully cleaned the text!
[2023-03-27 11:38:08,176]  - INFO - concatenating entire titles as a single str!
[2023-03-27 11:38:08,176]  - INFO - successfully concated entire text!
[2023-03-27 11:38:08,176]  - INFO - removing unneccessary extra spaces.
[2023-03-27 11:38:08,191]  - INFO - preparing final text data!
[2023-03-27 11:38:08,191]  - INFO - successfully prepared the final text with length :- 35143
[2023-03-27 11:38:08,191]  - INFO - saving the cleaned text file
[2023-03-27 11:38:08,191]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:38:08,207]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-27 11:38:10,440]  - INFO - text_data successfully lemmetized !
[2023-03-27 11:38:10,440]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\lemmetized\lemmetized.txt
[2023-03-27 11:38:10,440]  - INFO - saving the cleaned text file
[2023-03-27 11:38:10,440]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:38:10,440]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\lemmetized\lemmetizer.pkl
[2023-03-27 11:38:10,456]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\wordindex\word_index.pkl
[2023-03-27 11:38:10,456]  - INFO - word index successfully save at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\wordindex\word_index.pkl
[2023-03-27 11:38:10,456]  - INFO - no. of unique words :- 1825
[2023-03-27 11:38:10,456]  - INFO - tokenizer successfully fit and saved on this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-27 11:38:10,479]  - INFO - saving the cleaned text file
[2023-03-27 11:38:10,481]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:38:10,481]  - INFO - sequence data textfile successfully saved at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\SequenceData\sequencedata.txt
[2023-03-27 11:38:10,482]  - INFO - saving transformed data !
[2023-03-27 11:38:10,483]  - INFO - successfully saved sequence numpy array !
[2023-03-27 11:38:10,498]  - INFO - successfully transformed the y_data !
[2023-03-27 11:38:10,498]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 11:38:10,591]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 11:38:10,591]  - INFO - succesfully saved your trained data at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Trained_data
[2023-03-27 11:38:10,591]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 11:38:10,628]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 11:38:10,628]  - INFO - successfully loaded data for the training !
[2023-03-27 11:38:15,803]  - INFO - Model has been declared successfully !
[2023-03-27 11:38:46,321]  - DEBUG - Creating converter from 5 to 3
[2023-03-27 11:39:00,848]  - INFO - model trained successfully !
[2023-03-27 11:39:00,849]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\Model\epoch_history\epoch_history.pkl
[2023-03-27 11:39:00,849]  - DEBUG - Creating converter from 3 to 5
[2023-03-27 11:39:06,120]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__113807\DataTransformation\Trained_data\x_train.pkl
