[2023-03-27 14:20:20,756]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-27 14:20:21,087]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 14:20:21,087]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 14:20:21,087]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 14:20:21,087]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 14:20:23,686]  - INFO - suggestion started !!
[2023-03-27 14:20:23,686]  - INFO - configuring all the dataIngestion path variable
[2023-03-27 14:20:23,686]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-27 14:20:23,686]  - INFO - successfully configured
[2023-03-27 14:20:23,686]  - INFO - initiating DataIngestion
[2023-03-27 14:20:23,686]  - INFO - Merging all the csv files in one dataframe!
[2023-03-27 14:20:23,749]  - INFO - file size after merged :- (10399, 1)
[2023-03-27 14:20:23,782]  - INFO - initiated DataIngestion
[2023-03-27 14:20:23,782]  - INFO - initiating datavalidation class
[2023-03-27 14:20:23,829]  - INFO - writing Validationroport.yaml file
[2023-03-27 14:20:23,829]  - INFO - initiating the datacleaning instance methods!
[2023-03-27 14:20:23,845]  - INFO - dropping the duplicate history from history
[2023-03-27 14:20:23,845]  - INFO - successfully droped duplicacy, and now size :- (1328, 1)
[2023-03-27 14:20:23,845]  - INFO - remove less lenght and linc history !
[2023-03-27 14:20:23,876]  - INFO - successfully removed less length and linc, and now size :- (849, 1)
[2023-03-27 14:20:23,876]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-27 14:20:23,938]  - INFO - successfully cleaned the text!
[2023-03-27 14:20:23,938]  - INFO - concatenating entire titles as a single str!
[2023-03-27 14:20:23,954]  - INFO - successfully concated entire text!
[2023-03-27 14:20:23,954]  - INFO - removing unneccessary extra spaces.
[2023-03-27 14:20:23,954]  - INFO - preparing final text data!
[2023-03-27 14:20:23,954]  - INFO - successfully prepared the final text with length :- 35143
[2023-03-27 14:20:23,954]  - INFO - saving the cleaned text file
[2023-03-27 14:20:23,954]  - INFO - successfully saved the cleaned text file !
[2023-03-27 14:20:23,970]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-27 14:20:26,479]  - INFO - text_data successfully lemmetized !
[2023-03-27 14:20:26,479]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\lemmetized\lemmetized.txt
[2023-03-27 14:20:26,479]  - INFO - saving the cleaned text file
[2023-03-27 14:20:26,479]  - INFO - successfully saved the cleaned text file !
[2023-03-27 14:20:26,479]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\lemmetized\lemmetizer.pkl
[2023-03-27 14:20:26,495]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\wordindex\word_index.pkl
[2023-03-27 14:20:26,495]  - INFO - word index successfully save at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\wordindex\word_index.pkl
[2023-03-27 14:20:26,495]  - INFO - no. of unique words :- 1825
[2023-03-27 14:20:26,495]  - INFO - tokenizer successfully fit and saved on this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-27 14:20:26,510]  - INFO - saving the cleaned text file
[2023-03-27 14:20:26,510]  - INFO - successfully saved the cleaned text file !
[2023-03-27 14:20:26,510]  - INFO - sequence data textfile successfully saved at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\SequenceData\sequencedata.txt
[2023-03-27 14:20:26,510]  - INFO - saving transformed data !
[2023-03-27 14:20:26,510]  - INFO - successfully saved sequence numpy array !
[2023-03-27 14:20:26,526]  - INFO - successfully transformed the y_data !
[2023-03-27 14:20:26,526]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 14:20:26,635]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 14:20:26,635]  - INFO - succesfully saved your trained data at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data
[2023-03-27 14:20:26,635]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 14:20:26,667]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 14:20:26,667]  - INFO - successfully loaded data for the training !
[2023-03-27 14:20:32,107]  - INFO - Model has been declared successfully !
[2023-03-27 14:21:03,096]  - DEBUG - Creating converter from 5 to 3
[2023-03-27 14:21:17,236]  - INFO - model trained successfully !
[2023-03-27 14:21:17,236]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\Model\epoch_history\epoch_history.pkl
[2023-03-27 14:21:17,251]  - DEBUG - Creating converter from 3 to 5
[2023-03-27 14:21:22,647]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 14:21:22,663]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 14:21:31,803]  - INFO - model evaluted with this accuracy :-3.31 and loss is :- 66.73
[2023-03-27 14:21:31,803]  - INFO - Model is underfit !
[2023-03-27 14:21:31,821]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-27 14:21:31,822]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\lemmetized\lemmetizer.pkl
[2023-03-27 14:21:37,198]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\DataTransformation\wordindex\word_index.pkl
[2023-03-27 14:21:37,198]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\modelPusher\saved_models\lemmetizer.pkl
[2023-03-27 14:21:37,198]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\modelPusher\saved_models\tokenizer.pkl
[2023-03-27 14:21:37,214]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__142023\modelPusher\saved_models\word_index.pkl
[2023-03-27 14:21:37,385]  - INFO - saved models in artifact -> Modelpusher
[2023-03-27 14:21:37,385]  - INFO - saved object file path :- saved_models\4\tokenizer\tokenizer.pkl
[2023-03-27 14:21:37,401]  - INFO - saved object file path :- saved_models\4\lemmetizer\lemmetizer.pkl
[2023-03-27 14:21:37,401]  - INFO - saved object file path :- saved_models\4\wordIndex\word_index.pkl
[2023-03-27 14:21:37,575]  - INFO - saved models in saved_models
[2023-03-27 14:21:37,575]  - INFO - Training Pipeline executed Successfully !
[2023-03-27 14:21:44,374]  - INFO - loading all the models to get suggestions ..
[2023-03-27 14:21:44,387]  - INFO - successfully load the obj :- saved_models\4\tokenizer\tokenizer.pkl
[2023-03-27 14:21:44,389]  - INFO - successfully load the obj :- saved_models\4\lemmetizer\lemmetizer.pkl
[2023-03-27 14:21:50,293]  - INFO - successfully loaded all the model to get the suggestion !!
[2023-03-27 14:21:50,293]  - INFO - calling the suggestion functions!!
