[2023-03-27 11:52:55,285]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-27 11:52:55,613]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 11:52:55,613]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 11:52:55,613]  - DEBUG - Creating converter from 7 to 5
[2023-03-27 11:52:55,613]  - DEBUG - Creating converter from 5 to 7
[2023-03-27 11:52:58,185]  - INFO - configuring all the dataIngestion path variable
[2023-03-27 11:52:58,200]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-27 11:52:58,200]  - INFO - successfully configured
[2023-03-27 11:52:58,200]  - INFO - initiating DataIngestion
[2023-03-27 11:52:58,200]  - INFO - Merging all the csv files in one dataframe!
[2023-03-27 11:52:58,247]  - INFO - file size after merged :- (10399, 1)
[2023-03-27 11:52:58,279]  - INFO - initiated DataIngestion
[2023-03-27 11:52:58,279]  - INFO - initiating datavalidation class
[2023-03-27 11:52:58,325]  - INFO - writing Validationroport.yaml file
[2023-03-27 11:52:58,325]  - INFO - initiating the datacleaning instance methods!
[2023-03-27 11:52:58,341]  - INFO - dropping the duplicate history from history
[2023-03-27 11:52:58,357]  - INFO - successfully droped duplicacy, and now size :- (1328, 1)
[2023-03-27 11:52:58,357]  - INFO - remove less lenght and linc history !
[2023-03-27 11:52:58,383]  - INFO - successfully removed less length and linc, and now size :- (849, 1)
[2023-03-27 11:52:58,383]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-27 11:52:58,453]  - INFO - successfully cleaned the text!
[2023-03-27 11:52:58,453]  - INFO - concatenating entire titles as a single str!
[2023-03-27 11:52:58,453]  - INFO - successfully concated entire text!
[2023-03-27 11:52:58,453]  - INFO - removing unneccessary extra spaces.
[2023-03-27 11:52:58,468]  - INFO - preparing final text data!
[2023-03-27 11:52:58,468]  - INFO - successfully prepared the final text with length :- 35143
[2023-03-27 11:52:58,468]  - INFO - saving the cleaned text file
[2023-03-27 11:52:58,468]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:52:58,484]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-27 11:53:00,616]  - INFO - text_data successfully lemmetized !
[2023-03-27 11:53:00,616]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\lemmetized\lemmetized.txt
[2023-03-27 11:53:00,616]  - INFO - saving the cleaned text file
[2023-03-27 11:53:00,616]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:53:00,616]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\lemmetized\lemmetizer.pkl
[2023-03-27 11:53:00,647]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\wordindex\word_index.pkl
[2023-03-27 11:53:00,647]  - INFO - word index successfully save at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\wordindex\word_index.pkl
[2023-03-27 11:53:00,647]  - INFO - no. of unique words :- 1825
[2023-03-27 11:53:00,647]  - INFO - tokenizer successfully fit and saved on this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-27 11:53:00,663]  - INFO - saving the cleaned text file
[2023-03-27 11:53:00,663]  - INFO - successfully saved the cleaned text file !
[2023-03-27 11:53:00,663]  - INFO - sequence data textfile successfully saved at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\SequenceData\sequencedata.txt
[2023-03-27 11:53:00,663]  - INFO - saving transformed data !
[2023-03-27 11:53:00,663]  - INFO - successfully saved sequence numpy array !
[2023-03-27 11:53:00,679]  - INFO - successfully transformed the y_data !
[2023-03-27 11:53:00,679]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 11:53:00,773]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 11:53:00,773]  - INFO - succesfully saved your trained data at this position :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Trained_data
[2023-03-27 11:53:00,789]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Trained_data\x_train.pkl
[2023-03-27 11:53:00,806]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Trained_data\y_train.pkl
[2023-03-27 11:53:00,806]  - INFO - successfully loaded data for the training !
[2023-03-27 11:53:06,010]  - INFO - Model has been declared successfully !
[2023-03-27 11:53:36,279]  - DEBUG - Creating converter from 5 to 3
[2023-03-27 11:53:51,072]  - INFO - model trained successfully !
[2023-03-27 11:53:51,074]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\Model\epoch_history\epoch_history.pkl
[2023-03-27 11:53:51,076]  - DEBUG - Creating converter from 3 to 5
[2023-03-27 11:53:56,731]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\coding\Data Scientist\NLP\Chrome_SearchBar-autoencoder-NLP\artifacts\03272023__115258\DataTransformation\Trained_data\x_train.pkl
