[2023-03-20 00:10:32,400]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-20 00:10:32,722]  - DEBUG - Creating converter from 7 to 5
[2023-03-20 00:10:32,722]  - DEBUG - Creating converter from 5 to 7
[2023-03-20 00:10:32,722]  - DEBUG - Creating converter from 7 to 5
[2023-03-20 00:10:32,722]  - DEBUG - Creating converter from 5 to 7
[2023-03-20 00:10:35,339]  - INFO - configuring all the dataIngestion path variable
[2023-03-20 00:10:35,339]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-20 00:10:35,339]  - INFO - successfully configured
[2023-03-20 00:10:35,339]  - INFO - initiating DataIngestion
[2023-03-20 00:10:35,339]  - INFO - Merging all the csv files in one dataframe!
[2023-03-20 00:10:35,623]  - INFO - file size after merged :- (49449, 1)
[2023-03-20 00:10:35,763]  - INFO - initiated DataIngestion
[2023-03-20 00:10:35,763]  - INFO - initiating datavalidation class
[2023-03-20 00:10:35,950]  - INFO - writing Validationroport.yaml file
[2023-03-20 00:10:35,953]  - INFO - initiating the datacleaning instance methods!
[2023-03-20 00:10:36,011]  - INFO - dropping the duplicate history from history
[2023-03-20 00:10:36,021]  - INFO - successfully droped duplicacy, and now size :- (5946, 1)
[2023-03-20 00:10:36,021]  - INFO - remove less lenght and linc history !
[2023-03-20 00:10:36,140]  - INFO - successfully removed less length and linc, and now size :- (4695, 1)
[2023-03-20 00:10:36,140]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-20 00:10:36,621]  - INFO - successfully cleaned the text!
[2023-03-20 00:10:36,621]  - INFO - concatenating entire titles as a single str!
[2023-03-20 00:10:36,705]  - INFO - successfully concated entire text!
[2023-03-20 00:10:36,705]  - INFO - removing unneccessary extra spaces.
[2023-03-20 00:10:36,768]  - INFO - preparing final text data!
[2023-03-20 00:10:36,799]  - INFO - successfully prepared the final text with length :- 221069
[2023-03-20 00:10:36,799]  - INFO - saving the cleaned text file
[2023-03-20 00:10:36,799]  - INFO - successfully saved the cleaned text file !
[2023-03-20 00:10:36,830]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-20 00:10:38,962]  - INFO - text_data successfully lemmetized !
[2023-03-20 00:10:38,962]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\lemmetized\lemmetized.txt
[2023-03-20 00:10:38,962]  - INFO - saving the cleaned text file
[2023-03-20 00:10:38,962]  - INFO - successfully saved the cleaned text file !
[2023-03-20 00:10:39,009]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\wordindex\word_index.pkl
[2023-03-20 00:10:39,009]  - INFO - word index successfully save at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\wordindex\word_index.pkl
[2023-03-20 00:10:39,009]  - INFO - no. of unique words :- 6337
[2023-03-20 00:10:39,025]  - INFO - tokenizer successfully fit and saved on this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-20 00:10:39,072]  - INFO - saving the cleaned text file
[2023-03-20 00:10:39,072]  - INFO - successfully saved the cleaned text file !
[2023-03-20 00:10:39,072]  - INFO - sequence data textfile successfully saved at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\SequenceData\sequencedata.txt
[2023-03-20 00:10:39,072]  - INFO - saving transformed data !
[2023-03-20 00:10:39,072]  - INFO - successfully saved sequence numpy array !
[2023-03-20 00:10:39,166]  - INFO - successfully transformed the y_data !
[2023-03-20 00:10:39,166]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\Trained_data\x_train.pkl
[2023-03-20 00:10:42,302]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\Trained_data\y_train.pkl
[2023-03-20 00:10:42,302]  - INFO - succesfully saved your trained data at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\Trained_data
[2023-03-20 00:10:42,380]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\Trained_data\x_train.pkl
[2023-03-20 00:10:42,711]  - INFO - successfully load the obj :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03202023__001035\DataTransformation\Trained_data\y_train.pkl
