[2023-03-19 16:11:03,007]  - DEBUG - Falling back to TensorFlow client; we recommended you install the Cloud TPU client directly with pip install cloud-tpu-client.
[2023-03-19 16:11:03,336]  - DEBUG - Creating converter from 7 to 5
[2023-03-19 16:11:03,336]  - DEBUG - Creating converter from 5 to 7
[2023-03-19 16:11:03,336]  - DEBUG - Creating converter from 7 to 5
[2023-03-19 16:11:03,336]  - DEBUG - Creating converter from 5 to 7
[2023-03-19 16:11:05,954]  - INFO - configuring all the dataIngestion path variable
[2023-03-19 16:11:05,954]  - INFO - arranging file path of all chrome history csv files in a list!
[2023-03-19 16:11:05,954]  - INFO - successfully configured
[2023-03-19 16:11:05,954]  - INFO - initiating DataIngestion
[2023-03-19 16:11:05,954]  - INFO - Merging all the csv files in one dataframe!
[2023-03-19 16:11:06,222]  - INFO - file size after merged :- (49449, 1)
[2023-03-19 16:11:06,363]  - INFO - initiated DataIngestion
[2023-03-19 16:11:06,363]  - INFO - initiating datavalidation class
[2023-03-19 16:11:06,519]  - INFO - writing Validationroport.yaml file
[2023-03-19 16:11:06,535]  - INFO - initiating the datacleaning instance methods!
[2023-03-19 16:11:06,604]  - INFO - dropping the duplicate history from history
[2023-03-19 16:11:06,614]  - INFO - successfully droped duplicacy, and now size :- (5946, 1)
[2023-03-19 16:11:06,614]  - INFO - remove less lenght and linc history !
[2023-03-19 16:11:06,754]  - INFO - successfully removed less length and linc, and now size :- (4695, 1)
[2023-03-19 16:11:06,754]  - INFO - cleaning unnecessay words and lowerise the sentences
[2023-03-19 16:11:07,469]  - INFO - successfully cleaned the text!
[2023-03-19 16:11:07,469]  - INFO - concatenating entire titles as a single str!
[2023-03-19 16:11:07,527]  - INFO - successfully concated entire text!
[2023-03-19 16:11:07,527]  - INFO - removing unneccessary extra spaces.
[2023-03-19 16:11:07,556]  - INFO - preparing final text data!
[2023-03-19 16:11:07,565]  - INFO - successfully prepared the final text with length :- 221069
[2023-03-19 16:11:07,566]  - INFO - saving the cleaned text file
[2023-03-19 16:11:07,582]  - INFO - successfully saved the cleaned text file !
[2023-03-19 16:11:07,605]  - INFO - read text file from C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03192023__161105\datacleaning\cleaned_file\cleaned_text_file.txt
[2023-03-19 16:11:09,797]  - INFO - text_data successfully lemmetized !
[2023-03-19 16:11:09,797]  - INFO - saving the lemmetized file at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03192023__161105\DataTransformation\lemmetized\lemmetized.txt
[2023-03-19 16:11:09,797]  - INFO - saving the cleaned text file
[2023-03-19 16:11:09,797]  - INFO - successfully saved the cleaned text file !
[2023-03-19 16:11:09,844]  - INFO - saved object file path :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03192023__161105\DataTransformation\wordindex\word_index.pkl
[2023-03-19 16:11:09,844]  - INFO - word index successfully save at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03192023__161105\DataTransformation\wordindex\word_index.pkl
[2023-03-19 16:11:09,844]  - INFO - tokenizer successfully fit and saved on this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03192023__161105\DataTransformation\Tokenizer\tokenizer.pkl
[2023-03-19 16:11:09,907]  - INFO - saving the cleaned text file
[2023-03-19 16:11:09,907]  - INFO - successfully saved the cleaned text file !
[2023-03-19 16:11:09,907]  - INFO - sequence data textfile successfully saved at this position :- C:\Users\Ranjit Singh\Desktop\Chrome_SearchBar-autoencoder-NLP\artifacts\03192023__161105\DataTransformation\SequenceData\sequencedata.txt
[2023-03-19 16:11:09,907]  - INFO - saving transformed data !
[2023-03-19 16:11:09,907]  - INFO - successfully saved sequence numpy array !
